courseNumber,description
GEO283,"1 unit, seminar, 1 hour. prerequisite(s):  graduate standing;  or consent of instructor. offers lectures, discussions, and reports by students, faculty, and invited scholars on current research topics in astrobiology.  graded satisfactory (s) or no credit (nc). course is repeatable."
GEO290,"1 to 6 units, research 3 to 18 hours. prerequisite(s): graduate standing; and consent of instructor. research and special studies in the geological sciences. graded satisfactory (s) or no credit (nc). course is repeatable."
GEO297,"1 to 6 units, research, 3 to 18. prerequisite(s): graduate standing; and consent of instructor. research for individual graduate students in geological sciences. graded satisfactory (s) or no credit (nc).  course is repeatable."
GEO299M,"1 to 12 units, research, 3 hours per unit. prerequisite(s): graduate standing; and consent of instructor. thesis research. graded satisfactory (s) or no credit (nc). course is repeatable."
GEO299P,"1 to 12 units, research, 3 hours per unit, prerequisite(s): graduate standing; consent of instructor. research for dissertation, arranged in consultation with the staff. graded satisfactory (s) or no credit (nc). course is repeatable."
GER045,"4 units, lecture, 3 hours; screening, 3 hours. prerequisite(s): none. introduction to the history of german cinema from the advent of the studio system to the present. covers film in germany, switzerland, and austria.  attention is paid to the work of german-speaking filmmakers living in other parts of the world. instruction is in english; all films have subtitles. cross-listed with mcs 042."
GER119,"4 units, lecture, 3 hours; screening, 3 hours. prerequisite(s): restricted to class level standing of junior, or senior; or the consent of instructor; explores employment of cityscape as a narrative device while introducing some of the politics, culture, and technology that influenced late 19th and early 20th century viennese society. considers the filmmaker's usage of landscape, architecture, culture, art, history, politics and population. taught in english with either english language or german/subtitled film."
GBST003,"1 unit, discussion, 1 hour; individual study, 1 hour; written work, 1 hour. prerequisite(s):  restricted to class level standing of freshman, sophomore, or  junior. covers logistics for all ucr education abroad needs, such as program types, application, funding, resources, and support. explores intercultural competencies in depth, a key skill for the twenty-first century job force. promotes transferring of learned skills proactively into the academic career and improves employment competitiveness."
GBST110,"4 units, lecture, 3 hours; field, 3 hours. prerequisite(s): gbst 001 or gbst 002. examines migration and mobility (both global and interregional). also addresses economic development and displacement of populations and issues of identity and subjectivity in the context of recent theories of mobility and globalization to understand how migration is reshaping borders, ideas of self, political and social entities, and transnational issues."
GBST115,"4 units, lecture, 3 hours; research, 2 hours; written work, 1 hour. prerequisite(s): gbst 001;  or consent of instructor. explores the ethnographic methodologies that are the interdisciplinary tools researchers use to describe and document everyday lived lives. engages through various practicum and independent research utilizing literary sources. includes composition of a research proposal and video presentation of independent findings.     cross-listed with sehe 115."
GBST198I,"1 to 12 units, internship, 2 to 24 hours; term paper, 1 to 12 hours. prerequisite(s): consent of instructor. internship in a public or quasi-public agency or business concern in matters relating to global studies. requires a summary paper. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units."
GDIV403,"1 unit, seminar, 2 hours. prerequisite(s): graduate standing.  introduction to the core areas that influence the responsible conduct of research (rcr). designed as an option to meet current federal regulations requiring students on specific federal funds to receive training in rcr.  graded satisfactory (s) or no credit (nc)"
GRK292,"2 units, research, 6 hours. prerequisite(s): consent of instructor; concurrent enrollment in grk 100-series course. to be taken on an individual basis. each student completes a graduate paper based on research related to the grk 100-series course. course is repeatable."
HIST001,"4 units, seminar, 3 hours; extra reading, 2 hours; term paper, 1 hour. introduces close reading of the primary sources and secondary literature that historians use to reach conclusions about the past. provides an opportunity to work creatively with historical materials and become the historian as detective."
HIST010,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. introduces early human societies from a global perspective. covers the emergence of urban societies, diverging political and social orders, and global connections from the neolithic to 1500 ce. themes include technologies and ecology, governance and conflict, social and cultural identities, religious and ideological movements, and developing patterns of interregional contact.     credit is awarded for one of the following  hist 010,  hist 010h, or hist 010w."
HIST015,"4 units, lecture, 3 hours; discussion, 1 hour. a critical analysis of globalization after 1500ce as it shaped the modern world. students investigate agrarian societies, industrialization, and environmental challenges; conquest, colonialism, and imperialism; enslavement and migrations; resistance and survival under colonial systems; religious, economic, and political revolutions; the development of science and medicine; and changes in everyday life.     credit is awarded for one of the following  hist 015 or hist 015h."
HIST020,"4 units, lecture, 3 hours; discussion, 1 hour. a critical analysis of global historical changes in the twentieth century, and how they shape the world we live in today. students explore popular revolutions, world wars and the cold war, social & cultural change, capitalism, imperialism & decolonization; environmental crises; technological innovation and other contemporary global developments.     credit is awarded for one of the following hist 020,  hist 020h, or hist 020w."
HIST033,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. introduces the history of witchcraft beliefs and witch-hunting in colonial america. explores witchcraft in its many dimensions: religious, cultural, psychological, political, legal, social, and economic. students read original documents and study recent scholarly interpretations of early american events and attitudes."
HIST099W,"4 units, lecture, 2 hours; discussion, 2 hours. prerequisite(s): engl 001b with a grade of c or better, engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop;  or consent of instructor. an introduction to the tools in the historian's workshop. includes historical sources, methods of analysis, and various approaches to historical narrative. discusses historical research, analysis, and writing through study of historical works and through practice with original historical sources. prepares for upper-division history and humanities courses. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c."
HIST108,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. survey of technological developments in ancient and early-modern japan, china, india, the middle east, africa, central and south america, and europe. focuses on key mechanical and civil technologies and the role of the state in their development.     cross-listed with engr 108."
HIST121,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior. explores the history of the middle east from 1200 to 1800. includes the mongol conquests as well as the rise and expansion of the ottoman empire."
HIST127,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): upper-division standing or consent of instructor. examines zionism and the state of israel in the period from the first zionist congress in 1896 to the present.  addresses religious, social, economic, and political aspects of the jewish state. cross-listed with rlst 126."
HIST137K,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s): upper-division standing or consent of instructor. a thematic and topical approach to the study of african history from the early nile valley civilizations to the twentieth century. examines the temporal and spatial development of african societies--including their social, political, economic, and ideological systems--during the precolonial, colonial, and postcolonial periods. f. west african history to 1800; i. nineteenth- and twentieth-century africa and european imperialism; j. ancient africa; k. africa from 1000-1880; m. twentieth-century africa. cross-listed with etst 117(e-z)."
HIST197,"4 units, seminar, 3 hours; written work, 3 hours. prerequisite(s): hist 099w;  restricted to class level standing of junior, or  senior;  restricted to major(s) history, history/administrative studies, history/law and society;  or consent of instructor. introduces advanced historical research on specific topics using primary and secondary source materials. analyzes historical questions related to the selected topics and develops historical arguments to be explored further. topics vary based upon the research focus of the instructor.   course is repeatable as content or topic changes to a maximum of 16 units."
HIST251A,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. a general research seminar in history including european, continental european, british, russian, ancient, and latin american history. includes a major research paper based on extensive use of primary source material. graded in progress (ip) until hist 251a and hist 251b are completed, at which time a final grade is assigned. after completing both hist 251a and hist 251b, students may repeat the sequence once for credit; total credit for each course may not exceed 8 units."
HIST260,"4 units, seminar, 3 hours; individual study, 3 hours. prerequisite(s): graduate standing or consent of instructor. an introduction to the history, theories, and practices of historic preservation and place-based interpretations of the past. explores the role of history and memory in the construction of the built and natural environment as well as the socioeconomic, cultural, and political dynamics of preservation."
HIST291,"1 to 12 units, prerequisite(s): graduate standing. a program of study designed to advise and assist graduate candidates who are preparing for examinations. does not count toward the unit requirement for the master's degree. graded satisfactory (s) or no credit (nc)."
HIST292,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): consent of instructor. taken concurrently with some 100-series course, but on an individual basis. devoted to completion of a graduate paper based on research or criticism related to the 100-series course, the program of study is worked out with the instructor. graded satisfactory (s) or no credit (nc). may be repeated for credit."
HIST297,"1 to 6 units, prerequisite(s): consent of instructor. individualized graduate student research under the sponsorship of specific faculty members, in topics other than the student's dissertation. graded satisfactory (s) or no credit (nc). may be repeated for up to 8 units."
HIST299,"1 to 12 units, prerequisite(s): graduate standing. research for thesis or dissertation. graded satisfactory (s) or no credit (nc). course is repeatable."
HIST398I,"8 to 12 units, research, 8 to 12 hours; internship, 16 to 24 hours. prerequisite(s): consent of program coordinator. an internship at a museum, archive, gallery, or other cooperating institution under the direction of a faculty member. graded satisfactory (s) or no credit (nc)."
HISE115,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. examines the political, economic, institutional, social, and cultural history of rome from its foundation until the end of the roman republic (27 b.c.). focuses on prominent figures and moments of crisis as it examines the forces that brought rome to the forefront of the mediterranean world."
HISE162,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s): upper-division standing or consent of instructor. germany from bismarck's accession as chancellor in 1862 to hitler's defeat in 1945, with special attention to the economic underpinnings of the period and the process of social and economic modernization."
HISE173,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior. introduces the great religious, national, and ethnic diversity inside the russian empire (1552-1917). topics include colonial expansion and frontiers; attitudes and policies toward non-russians; discovery and defense of ethnoreligious identities; nation-building and nationalisms; nationality conflicts; violence; and revolution."
HISA110B,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s): upper-division standing or consent of instructor. an analysis of the political, social, and cultural movements that led to the american revolution and the formation of the republic. topics include crowd activity, imperial conflict, and the creation of the constitution."
HISA114S,"5 units, lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. an analysis of the american civil war. topics include slavery as a cause of the war and the impact of emancipation and of the war on both north and south. credit is awarded for only one of hisa 114 or hisa 114s."
HISA135,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s): upper-division standing or consent of instructor. the civil rights movement of the 1950s and 1960s. the main focus will be on the ""grass roots."" african american aspects of ""the movement,"" as it was popularly known, from school desegregation to voting rights and beyond. cross-listed with etst 112."
HISA140,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. provides students with a broad understanding of the rich and varied heritage and history of california indians from the invasion of the spanish to the twentieth century. examines geographically and culturally diverse groups as a means of illustrating the various euro-american indian policies that affected native californians. course is comparative and thematic. cross-listed with etst 180."
HISA144F,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): upper-division standing or consent of instructor. selected topics addressing the issues of the native american. includes reading, research, and discussion on the native american experience. f. early america: emerging interpretations. cross-listed with etst 115 (e-z)."
HNPG002W,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): engl 001b with a grade of c or better, engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop;  admission to university honors. aims to cultivate, enhance, and facilitate interest in social change. bridges the academic and personal life by providing knowledge and tools for civic engagement. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c.   satisfactory(s) or no credit(n/c) is not available."
HNPG149,"1 unit, lecture, 1 hour. prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  admission to university honors. an introduction to the capstone experience as directed by the honors faculty director. covers effective networking, identifying and contacting a faculty-mentor, capstone planning, proposal writing, human subjects requirements, and successful completion of university honors. includes identifying a faculty-mentor and providing a brief description of the project.  graded satisfactory (s) or no credit (nc)."
HNPG199H,"1 to 5 units, research, 2 to 10 hours; term paper, 1 to 5 hours. prerequisite(s): hnpg 198h with a grade of b or better;  restricted to class level standing of sophomore, junior, or  senior;  admission to university honors. research in support of the university honors capstone project under supervision of a faculty mentor.    graded in progress (ip) until the final quarter is completed, at which time a final grade is awarded. course is repeatable to a maximum of 12 units."
HASS001,"2 units, lecture, 1.5 hours; extra reading, 3 hours; individual study, 1.5 hours. prerequisite(s):  restricted to class level standing of junior;  or consent of instructor. explores the factors relating to academic success. addresses the social and psychological adjustment to college life. investigates a wide range of academic disciplines and campus student support services. offered online only.  graded satisfactory (s) or no credit (nc)."
HASS189A,"4 units, seminar, 2 hours; research, 3 hours; consultation, 1 hour. prerequisite(s): admission into the mellon mays undergraduate fellowship program;  restricted to class level standing of junior, or  senior. prepares mellon mays undergraduate fellows to become scholars and academics. focuses on the different paths open after the ba, especially those conducive to phds. provides extensive training in how to apply to graduate school and how to be successful as an academic.   course is repeatable as content or topic changes to a maximum of 12 units."
HASS195,"1 to 8 units, prerequisite(s): enrollment by request of student with approval of the advisor and the humanities, arts, and social sciences interdisciplinary committee. for honors students who may need one or more quarters to complete the research and writing of a senior thesis. course is repeatable to a maximum of 12 units."
ITAL042,"4 units, lecture, 3 hours; screening, 2 hours; written work, 1 hour. prerequisite(s): none. a study of the italian american experience as seen through major works of italian and italian american writers and filmmakers. covers the 1950s to the present. no knowledge of italian required. cross-listed with eur 042"
JPN001,"4 units, lecture, 4 hours. prerequisite(s): student must take the japanese placement examination. an introduction to the sound system and grammar of japanese. emphasizes speaking, reading, writing, and comprehension skills. classes conducted in japanese whenever possible."
JPN022,"4 units, lecture, 3 hours; discussion, 1 hour; screening, 2 hours. an introduction to major genres, styles, and creators in the japanese film world. focuses on formal analysis and critical writing about film. works studied range from the samurai epics of kurosawa to recent anime. all films have subtitles. no previous knowledge of japanese language or culture required.     cross-listed with ast 022, and mcs 022."
JPN120,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): cplt 001 with a grade of c- or better or cplt 002 with a grade of c- or better or cplt 017 with a grade of c- or better or jpn 022 with a grade of c- or better or jpn 023 with a grade of c- or better or jpn 034 with a grade of c- or better;  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. introduces theories and examples of adaptation and remediation from japanese culture. includes literature to film adaptation, video game adaptation, uses of folk literature in performing arts, and cross-media franchises."
KOR001,"4 units, lecture 4, prerequisite(s): student must take the korean placement examination an introduction to the sound system and grammar of korean. emphasizes reading, writing, understanding, and speaking. credit is awarded for only one of the following sequences: kor 001, kor 002, kor 003, and kor 004; kor 001, kor 002, and kor 020b; kor 020a and kor 020b."
KOR020A,"4 units, lecture, 4 hours. prerequisite(s): student must take the korean placement examination. a first-year korean course designed for heritage learners who have some proficiency in listening comprehension and speaking but are unable to read and write in korean. credit is awarded for only one of the following sequences:  kor 001, kor 002, kor 003, and kor 004; kor 001, kor 002, and kor 020b; kor 020a and kor 020b."
KOR047,"4 units, lecture, 3 hours; screening, 2 hours; discussion, 1 hour. an introduction to the major directors and films of korea. covers the genres and periods of works produced from the 1960s to the present. all films have english subtitles. no previous knowledge of korean language or culture required.     cross-listed with ast 047, and mcs 047."
KOR112,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. a study of modern korean literature from the colonial era to the present. topics include colonialism; cultural influence and exchange; gender, family and sexuality; nation and nationalism; confucian tradition and patriarchal culture; and modernization and capitalism. cross-listed with ast 112."
LABR001,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): none. through comparative and historical perspective, examines the social forces shaping labor conditions and workers' struggles for justice.  covers the changing nature of work under capitalism, race and gender discrimination in the labor market, the impact of economic globalization, and unions' successes and limitations."
LABR198I,"1 to 12 units, internship, 2 to 24 hours; written work, 1 to 12 hours. prerequisite(s): upper-division standing; consent of instructor. supervised experience in a labor union or related community organization.  focuses on the issues affecting workers and/or low-income people, as well as the prospects and challenges for achieving social justice for working-class people in the contemporary united states. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
LNST001,"5 units, lecture, 3 hours; screening, 1.5 hours; individual study, 3 hours; term paper, 1.5 hours.  introduces key issues in latin american studies and how scholars from diverse fields address them.  topics include indigenous cultures; colonial history; poverty; race, gender, and class inequalities; democracy and dictatorship; revolution; and civil war.  integrates film, literature, and music into the course."
LNST104,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior. an introduction to the study of spanish and comparative linguistics.     cross-listed with spn 104."
LNST142S,"5 units, lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours; written work, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior. a comparative examination of central issues in and components of latin american political life.  covers economic development, regimes and alliances, guerrilla wars, the armed forces, human rights, and democratic consolidation.  includes argentina, chile, venezuela, and peru.     cross-listed with posc 162s.  credit is awarded for one of the following  posc 162s,  lnst 142s,  lnst 142, or posc 162."
LWSO100,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. an introduction to the interdisciplinary study of the role of law and legal institutions in society. examines the role of criminal, tort, contract, constitutional, or other areas of the law in society from different disciplinary perspectives.     credit is awarded for one of the following  lwso 100 or lwso 100h."
LGBS001,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): none. introduces students to basic issues in lesbian, gay, bisexual, and transgender studies. topics include the history of sexuality, identity politics and community activism, the relation between sexuality and gender, the theories of sexual identity, and the globalization of lesbian, gay, bisexual, intersexual, and transgender issues."
LGBS143,"4 units, lecture, 3 hours; screening, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. an intensive formal, historical, and theoretical analysis of gender and sexuality in film, television, and visual culture.   course is repeatable as content or topic changes to a maximum of 12 units.  cross-listed with engl 143, and mcs 143."
LGBS198I,"1 to 4 units, consultation, 1 hour; term paper, 1 to 3 hours; internship, 2 to 8 hours. prerequisite(s): upper-division standing or consent of instructor internship in a community or campus outreach program related to lesbian, gay, and bisexual studies. the internship is supervised by a faculty member teaching in the lesbian, gay, and bisexual studies minor and the agency or program coordinator. a final paper is required. course is repeatable to a maximum of 12 units."
LBST191,"4 units, seminar, 3 hours; individual study, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. facilitates student efforts to bring together the knowledge, skills, and interests developed to this point through all aspects of their education. includes a paper or project and completion of an e-portfolio."
LING121,"4 units, lecture, 3 hours; individual study, 2 hours; research, 2 hours; extra reading, 1 hour. prerequisite(s): ling 020. survey of various approaches to syntax including transformational. examines syntactic structures of english and other languages. applies to: english, foreign languages, philosophy, and mathematics."
LING131,"4 units, lecture, 3 hours; research, 1 hour; individual study, 1 hour; extra reading, 1 hour. prerequisite(s): ling 020; ling 111 or ling 121. studies word structure, the lexical component of language, allomorphy, types of morphemes, and inflexional and derivational morphology. examines various theories of lexical/morphological organization in the brain. provides examples from english and other indo-european languages."
LING198,"1 units, activity hours vary per r'course proposal, prerequisite(s): permission needed from department; sophomore standing or better. an opportunity for ucr undergraduate students to develop leadership skills, innovate the undergraduate curriculum, and promote democratic, experiential education. original course topics are variable and unique from other departmental course offerings, designed to highlight the student facilitators' expertise while working closely with a faculty mentor. graded satisfactory (s) or no credit (nc).course is repeatable as topics change to a maximum of 8 units."
CWLR200,"1 units, colloquium, .5 hours; consultation, .5 hours; practicum, .5 hours. prerequisite(s): graduate standing. focuses on professional development. involves mechanics of industry queries, book proposals, contracts, rights, and agent interviews. culminates in craft lecture during residency. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 2 units."
CWLR211F,"2 to 4 units, workshop,10 to 20 hours per quarter; activity, 3 to 6 hours.  prerequisite(s): graduate standing. focuses on the production of original work.  involves study of chosen genre(s), emphasizing technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR211N,"2 to 4 units, workshop,10 to 20 hours per quarter; activity, 3 to 6 hours.  prerequisite(s): graduate standing. focuses on the production of original work.  involves study of chosen genre(s), emphasizing technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR211P,"2 to 4 units, workshop,10 to 20 hours per quarter; activity, 3 to 6 hours.  prerequisite(s): graduate standing. focuses on the production of original work.  involves study of chosen genre(s), emphasizing technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR211S,"2 to 4 units, workshop,10 to 20 hours per quarter; activity, 3 to 6 hours.  prerequisite(s): graduate standing. focuses on the production of original work.  involves study of chosen genre(s), emphasizing technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR211T,"2 to 4 units, workshop,10 to 20 hours per quarter; activity, 3 to 6 hours. prerequisite(s): graduate standing. focuses on the production of original work.  involves study of chosen genre(s), emphasizing technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR221F,"2 to 4 units, workshop, 10 to 20 hours per quarter; activity, 3 to 6 hours. prerequisite(s): graduate standing. focuses on the production of original work. includes introductory study of chosen cross-genres. emphasizes technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR221N,"2 to 4 units, workshop, 10 to 20 hours per quarter; activity, 3 to 6 hours. prerequisite(s): graduate standing.focuses on the production of original work. includes introductory study of chosen cross-genres. emphasizes technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR221P,"2 to 4 units, workshop, 10 to 20 hours per quarter; activity, 3 to 6 hours. prerequisite(s): graduate standing. focuses on the production of original work. includes introductory study of chosen cross-genres. emphasizes technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR221S,"2 to 4 units, workshop, 10 to 20 hours per quarter; activity, 3 to 6 hours. prerequisite(s): graduate standing. focuses on the production of original work. includes introductory study of chosen cross-genres. emphasizes technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
CWLR221T,"2 to 4 units, workshop, 10 to 20 hours per quarter; activity, 3 to 6 hours. prerequisite(s): graduate standing. focuses on the production of original work. includes introductory study of chosen cross-genres. emphasizes technique, structure, style, and form. f. fiction; n. nonfiction; p. poetry; s. screenwriting; t. playwriting. each segment is repeatable."
MGT201,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): mgt 403 with a grade of s or better; or passing score on assessment test; or completing knewton alta prior to starting the program; or master of finance (mfin); or department approval; consent of instructor;  may not be taken for degree credit by students in statistics undergraduate or graduate programs;  graduate standing;  or consent of instructor. addresses decision-making and solving management problems using data. covers the foundation of probability and statistics as well as statistical inference and interpretation of statistical analysis. topics include probability, sampling, estimation, confidence intervals, hypothesis testing, and linear regression."
MGT202,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): mgt 201, may be taken concurrently; mgt 211, may be taken concurrently;  graduate standing. provides a foundation in theories of finance. topics include time value of money, security valuation, financial institutions, theories of risk measurements, managing a firm's investment decisions, capital structure, and sources of financing for a firm."
MGT205,"4 units, lecture, 3 hours; laboratory, 1 hour; activity, 2 hours. prerequisite(s): for the mgt 205 online section, enrollment in the executive masters of business administration program is required;  graduate standing. examines the operation and management of information systems as applied to the business environment. topics include hardware, software, databases, decision support, and systems analysis. software packages are used to integrate information systems concepts and business applications."
MGT207,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): mgt 201;  graduate standing;  or consent of instructor. focuses on managing the activities involved directly in the creation of products and services such as design, production, and distribution. provides managers with the skills and tools to analyze, optimize, and improve production processes for competitive advantage."
MGT209,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. analyzes the marketing process, the environment within which it operates, institutions involved, and the functions performed. examines the relationships and trends in a market-based economic system. develops concepts and terms applied to marketing decisions from the perspective of a manager."
MGT218,"4 units, lecture, 3 hours.  prerequisite(s): graduate standing. examines ethical dilemmas faced by managers and organizations and extends decision analysis to include the ethical dimension present in most policy decisions. seeks to increase the students' ability to identify and respond to ethical issues in organizations, including such areas as affirmative action, bribery, deception, working conditions, product safety, environmental impact, and international relations."
MGT219,"4 units, lecture, 3 hours; extra reading, 1.5 hours; individual study, 1.5 hours. prerequisite(s): mgt 207;  graduate standing;  or consent of instructor. introduces tools for using data to make informed managerial decisions. addresses modeling, optimization on a spreadsheet, and analysis of the software outputs. topics include basic excel tools, decision analysis via decision trees, and linear and nonlinear optimization using the excel solver. draws applications from operations, finance, marketing, and management fields."
MGT227,"4 units, lecture, 3 hours; extra reading, 1.5 hours; outside projects, 1.5 hours. prerequisite(s): mgt 201; graduate standing. covers analytical techniques related to fixed-income securities. includes basic analytical tools in fixed-income markets. topics include relative pricing of fixed-income securities, yield-curve estimation, securities with embedded options, and trading strategies. utilizes interest rate swaps, mortgage-backed securities, and credit derivatives."
MGT228,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): mgt 209;  graduate standing;  or consent of instructor. studies the processes individuals and groups use to select, secure, use, and dispose of products, services, experiences, or ideas to satisfy needs. explores the impacts that these processes have on the consumer and society. addresses external and internal influences on consumer behavior."
MGT229,"4 units, lecture, 3 hours; extra reading, 1.5 hours; outside projects, 1.5 hours. prerequisite(s): mgt 204 or equivalent; graduate standing. examines the ethical and professional responsibilities of accountants and auditors. focuses on ethics, the american institute of certified public accountants (aicpa)'s code of professional conduct, circular 230, the sarbanes-oxley act (sox), securities and exchange commission (sec) laws and regulations, public company accounting oversight board (pcaob) standards, state and federal laws relevant to accountants, auditors, and certified public accountants."
MGT237,"4 units, lecture, 3 hours; extra reading, 1 hour; outside projects, 2 hours. prerequisite(s): mgt 202; graduate standing. focuses on the nature, risks, and management of foreign exchange exposure in a corporate setting. covers trade and international investment theories. topics include the international financial systems, balance of payments, foreign exchange markets, measurement of foreign exchange risk, hedging, international asset pricing, and trade financing."
MGT240A,"4 units, lecture, 3 hours; outside projects and extra reading, 3 hours. prerequisite(s): mgt 211 or equivalent; graduate standing; or consent of instructor. covers federal income tax laws as they apply to individuals, partnerships, and corporations. also discusses tax planning, tax policy, and other special tax issues."
MGT241,"4 units, lecture, 3 hours; extra reading, 1.5 hours; outside projects, 1.5 hours. prerequisite(s): mgt 204 or equivalent; graduate standing. a study of the design and implementation of internal control systems.  emphasizes auditing, accounting information systems, ethical and trust systems, and related issues."
MGT249,"4 units, lecture, 3 hours; consultation or discussion, 1 hour. prerequisite(s): mgt 209; graduate standing; or consent of instructor. the concepts of competitive pricing, price leadership, price discrimination, price warfare, and the strategic implication of skimming versus penetration strategies with respect to the experience curve will be developed."
MGT256,"4 units, lecture, 3 hours; written work, 1 hour; extra reading, 1; practicum, 1 hour. prerequisite(s): mgt 201; graduate standing; or consent of instructor. provides the fundamental concepts and tools needed to understand the emerging role of business analytics in organizations and apply basic business analytics tools in a spreadsheet environment. makes extensive use of data, statistical and quantitative analysis, exploratory and predictive models, and fact-based management to drive decisions and actions."
MGT257,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): mgt 209;  graduate standing;  or consent of instructor. presents a framework for an integrated, dynamic analysis of customers and competitors to enable marketing strategy development for long-term success. uses case studies, lecture-discussions, and a computer-simulated competitive marketing strategy game."
MGT285,"1 units, colloquium 1, prerequisite(s): graduate standing or consent of instructor includes oral reports by visiting scholars, faculty, and students on current research topics in management. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 8 units."
MGT288B,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): doctoral standing or consent of instructor. introduces the fundamentals of modeling in marketing. studies research issues associated with marketing management decisions. emphasizes empirical research. examines of strategic marketing, marketing segmentation, new product development and introduction, pricing strategies, channel policy, promotion decisions, and sales force management."
MGT290,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): graduate standing; and consent of instructor. directed studies and research in selected problems or theories of management for advanced graduate students to pursue special areas of interest. graded satisfactory (s) or no credit (nc). course is repeatable."
MGT292,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): graduate standing; consent of instructor. explores one or more graduate projects based on content related to an appropriate undergraduate course. includes faculty guidance and evaluation. taken concurrently with the undergraduate course."
