courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
EE190,36745,SPECIAL STUDIES,Electrical Engineering,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): consent of instructor and department chair. individual study to meet special curricular needs. course is repeatable to a maximum of 9 units."
EE197,22110,RESEARCH FOR UNDERGRADUATES,Electrical Engineering,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): consent of instructor and electrical engineering undergraduate program advisor. directed research on a topic relevant to electrical engineering. requires a final written report. course is repeatable to a maximum of 8 units."
EE198I,22861,INDIVIDUAL INTERNSHIP IN ELECTRICAL ENGINEERING,Electrical Engineering,"1 to 12 units, internship, 2 to 24 hours; written work, 1 to 12 hours. prerequisite(s): upper-division standing; at least 12 units in electrical engineering. provides the undergraduate student with career experience as an electrical engineer in an industry or a research unit under the joint supervision of an off-campus sponsor and a faculty member in electrical engineering. each individual program must have the prior approval of both supervisors. requires a final report. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units"
EE201,13931,APPLIED QUANTUM MECHANICS,Electrical Engineering,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): math 046, phys 040a; graduate standing; or consent of instructor. covers topics in quantum mechanics including schroedinger equation; operator formalism; harmonic oscillator; quantum wells; spin, bosons, and fermions; solids; perturbation theory; wentzel-kramers-brillouin approximation; tunneling; tight-binding model; quantum measurements; quantum cryptography; and quantum computing. cross-listed with mse 207."
EE212,38101,QUANTUM ELECTRON TRANSPORT,Electrical Engineering,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 208 or mse 227b;  graduate standing;  or consent of instructor. covers the theory and methods used to model quantum electron transport in ultrascaled traditional semiconductor devices such as transistors, nanoscaled research semiconductor devices (such as quantum dots), and novel electronic material systems (such as carbon nanotubes and molecular wires.)  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   cross-listed with mse 212."
EE215,13935,STOCHASTIC PROCESSES,Electrical Engineering,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): graduate standing or consent of instructor. a study of probability and stochastic processes. topics include discrete and continuous random variables; probability densities; characteristic functions; convergence of random sequences; central limit theorem; autocorrelation functions and spectral densities; wide-sense and strict-sense stationarity; markov chains and processes; and response of linear time-invariant systems to random signals."
EE217,28155,GRAPHICS PROCESSING UNIT ARCHITECTURE AND PARALLEL PROGRAMMING,Electrical Engineering,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cs 160 with a grade of ""c-"" or better; graduate standing; or consent of instructor. introduces the popular cuda based parallel programming environments based on nvidia gpus. covers the basic cuda memory/threading models. also covers the common data-parallel programming patterns needed to develop a high-performance parallel computing applications. examines computational thinking; a broader range of parallel execution models; and parallel programming principles. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor. cross-listed with cs 217."
EE221,36210,RADIO-FREQUENCY INTEGRATED CIRCUIT DESIGN,Electrical Engineering,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 100b; senior or graduate standing. covers the essentials of contemporary radio frequency (rf) complimentary metal oxide semiconductor (cmos) integrated circuit (ic) analysis and design.  addresses typical rf building blocks in cmos and bipolar/cmos (bicmos) technologies, including passive ic components, transistors, distributed networks, voltage reference and biasing circuits, power amplifiers, and feedback networks.  also covers rf device modeling, bandwidth estimation, and stability analysis techniques."
EE227,37334,INTRODUCTION TO REINFORCEMENT LEARNING,Electrical Engineering,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): ee 215 or ee 244 or cs 224 or ee 228 or cs 228 or ee 251b or cs 252b;  graduate standing;  or consent of instructor. this course introduces key ideas and algorithms of reinforcement learning (rl). key topics covered include finite markov decision process (mdp), dynamic programming, monte carlo methods, temporal-difference learning, policy gradient methods, safety-constrained rl, batch-constrained rl, multi-agent rl, multi-armed bandits, and imitation learning.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   cross-listed with cs 258."
EE228,36819,INTRODUCTION TO DEEP LEARNING,Electrical Engineering,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): cs 224 or ee 231 or ee 236 or ee 244 or cs 171 or ee 142;  graduate standing;  or consent of instructor. explores fundamentals of deep neural networks and their applications in various machine learning tasks. includes the fundamentals of perception, approximation, neural network architectures, loss functions, and generalization. addresses optimization methods including backpropagation, automatic differentiation, and regularization. covers non-standard problems including auto-encoders and probabilistic models. presents applications in machine learning/computer vision.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   cross-listed with cs 228."
EE230,13939,MATHEMATICAL METHODS FOR ELECTRICAL ENGINEERS,Electrical Engineering,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): graduate standing or consent of instructor. covers fundamental theoretical concepts and computational tools for electrical engineering graduate students. presents material relevant to electrical engineering applications. topics include vector spaces; partitioned, unitary, and positive definite matrices; differential calculus with matrices; matrix decompositions; linear system solution; convex optimization; the lagrangian method; kkt conditions; and nonlinear optimization methods. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
EE231,36212,CONVEX OPTIMIZATION IN ENGINEERING APPLICATIONS,Electrical Engineering,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s): ee 230, may be taken concurrently;  graduate standing;  or consent of instructor. covers recognizing and solving convex optimization problems in engineering applications. explores convex sets, functions, and optimization problems. includes basics of convex analysis, least-squares, linear and quadratic programs, semidefinite programming, minimax, and other problems. addresses optimality conditions, duality theory, theorems of alternative and applications, interior-point methods, and applications in engineering."
EE233,38396,OPTIMAL CONTROL AND ESTIMATION,Electrical Engineering,"4 units, lecture, 4 hours; term paper, 1 hour. prerequisite(s): me 120, me 121 or equivalent; or consent of instructor. introduces optimal control and estimation with specific focus on discrete time linear systems. topics include analysis of discrete riccati equations; asymptotic properties of optimal controllers; optimal tracking; an introduction to receding horizon control; derivation of the kalman filter; extended kalman filter; and unscented kalman filter. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor. cross-listed with me 220."
EE242A,37918,FOUNDATIONS OF MACHINE LEARNING,Electrical Engineering,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): cs 100; stat 155 or ee 114; math 031;  for the cs 224/ee 242a online section: enrollment in the online master-in-science in engineering program;  graduate standing.;  graduate standing;  or consent of instructor. a study of generative and discriminative approaches to machine learning. topics include probabilistic model fitting, gradient-based loss optimization, regularization, hyper-parameters, and generalization. includes experience with data science programming environments, data from practice, and performance metrics.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   cross-listed with cs 224."
EE251A,37330,DATA ANALYTICS AND EXPLORATION,Electrical Engineering,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): cs 141, cs 100; stat 155 or ee 114 or equivalent;  graduate standing;  or consent of instructor. covers important algorithms relevant to the lifetime of data from data collection and cleaning to integration, data mining, and analytics. topics include: sketch algorithms for computing statistics on data streams; mining social graphs including community detection and graph partitioning; data science life cycle: techniques on data cleaning, data integration, exploratory data analysis, and visualization.     cross-listed with cs 252a."
EE252,26168,DATA CENTER ARCHITECTURE,Electrical Engineering,"4 units, lecture, 3 hours;  extra reading, 2 hours;  term paper, 1 hour. prerequisite(s): cs 161 or consent of instructor.   introduces recent trends and challenges of warehouse-scale computing and data center systems. topics include virtualization, resource management, data market, power management, sustainable computing, and demand response."
EE259,13942,COLLOQUIUM IN ELECTRICAL ENGINEERING,Electrical Engineering,"1 unit, colloquium, 1 hour. prerequisite(s): graduate standing. lectures on current research topics in electrical engineering relating to professional development presented by faculty members and visiting scientists. graded satisfactory (s) or no credit (nc). course is repeatable."
EE260,37959,SEMINAR IN ELECTRICAL ENGINEERING,Electrical Engineering,"1 to 4 units,  seminar, 1 to 4 hours. prerequisite(s): consent of instructor seminar on current research topics in electrical engineering, including areas such as signal processing, image processing, control, robotics, intelligent systems, computer vision, and pattern recognition. course is repeatable to a maximum of 16 units."
EE282D,36213,DESIGN FOR RELIABILITY OF INTEGRATED CIRCUITS AND SYSTEMS,Electrical Engineering,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s):  graduate standing;  or consent of instructor. covers essentials of electrical transient induced failures to integrated circuits (ic) and systems. addresses basics for different failure and testing models including electrostatic discharge (esd). discusses design-for-reliability (dfr) techniques such as esd protection designs at ic, module, and system levels. enhances learning with computer aided design (cad) laboratories.  may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor.   credit is awarded for one of the following  ee 282d or ee 165."
EE290,13951,DIRECTED STUDIES,Electrical Engineering,"1 to 6 units,  individual study, 3 to 18 hours. prerequisite(s): graduate standing; consent of instructor and graduate advisor. individual study, directed by a faculty member, of selected topics in electrical engineering. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
EE297,31581,DIRECTED RESEARCH,Electrical Engineering,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): graduate standing; consent of instructor research conducted under the supervision of a faculty member on selected problems in electrical engineering. graded satisfactory (s) or no credit (nc). course is repeatable."
EE298I,14000,INDIVIDUAL INTERNSHIP IN ELECTRICAL ENGINEERING,Electrical Engineering,"1 to 12 units, internship, 2 to 24 hours; written work, 1 to 12 hours. prerequisite(s): graduate standing; consent of instructor. provides the electrical engineering graduate student with career experience as an electrical engineer in an industry or a research unit. includes fieldwork with an approved professional individual or organization and academic work under the direction of a faculty member. requires a final report. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
EE299,31553,RESEARCH FOR THE THESIS OR DISSERTATION,Electrical Engineering,"1 to 12 units, research, 3 to 36 hours. prerequisite(s): graduate standing; consent of instructor./ research in electrical engineering for the m.s. thesis or ph.d. dissertation. graded satisfactory (s) or no credit (nc). course is repeatable."
ENGR001G,14579,COMPUTER ENGINEERING,Engineering,"1 unit, activity, 30 hours per quarter. prerequisite(s): freshman standing in the bourns college of engineering. provides freshmen with involvement in professional development activities. activities to be performed are program-specific, and may include projects, industry overviews and interactions, involvement with professional societies and clubs, team building, career guidance, and coverage of ethics and lifelong learning issues. e. bioengineering; f. chemical engineering; g. computer engineering; i. computer science; j. electrical engineering; k. environmental engineering; m. computer science with business applications."
ENGR001I,14580,COMPUTER SCIENCE,Engineering,"1 unit, activity, 30 hours per quarter. prerequisite(s): freshman standing in the bourns college of engineering. provides freshmen with involvement in professional development activities. activities to be performed are program-specific, and may include projects, industry overviews and interactions, involvement with professional societies and clubs, team building, career guidance, and coverage of ethics and lifelong learning issues. e. bioengineering; f. chemical engineering; g. computer engineering; i. computer science; j. electrical engineering; k. environmental engineering; m. computer science with business applications."
ENGR001M,26601,PROFESSIONAL DEVELOPMENT AND MENTORING,Engineering,"1 unit, activity, 30 hours per quarter. prerequisite(s): freshman standing in the bourns college of engineering. provides freshmen with involvement in professional development activities. activities to be performed are program-specific, and may include projects, industry overviews and interactions, involvement with professional societies and clubs, team building, career guidance, and coverage of ethics and lifelong learning issues. e. bioengineering; f. chemical engineering; g. computer engineering; i. computer science; j. electrical engineering; k. environmental engineering; m. computer science with business applications."
ENGR108,14589,TECHNOLOGY IN THE PREMODERN WORLD,Engineering,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. survey of technological developments in ancient and early-modern japan, china, india, the middle east, africa, central and south america, and europe. focuses on key mechanical and civil technologies and the role of the state in their development.     cross-listed with hist 108."
ENGR118,32699,ENGINEERING MODELING AND ANALYSIS,Engineering,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): chem 001a or chem 01ha; cs 009a; math 046; phys 040b or phys 040hb;  or consent of instructor. covers the formulation of mathematical models for engineering systems. includes applying mass, momentum, and energy balances to derive governing differential equations; solving equations with the use of spreadsheets and other software packages; and fitting linear and nonlinear models to experimental data.     credit is awarded for one of the following  engr 118 or me 118."
ENGR180W,14593,TECHNICAL COMMUNICATIONS,Engineering,"4 units, lecture, 3 hours; workshop, 3 hours. prerequisite(s): engl 001b with a grade of c or better, engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop; restricted to class level standing of junior, or senior. develops oral, written, and graphical communication skills. includes preparing and critiquing reports, proposals, instructions, and business correspondence. emphasizes professional and ethical responsibilities and the need to stay current on technology and its global impact on economics, society, and the environment. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c."
ENGR190,24638,SPECIAL STUDIES,Engineering,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): upper-division standing or consent of instructor. to be taken with the consent of the chair of the appropriate engineering program as a means of meeting special curricular problems. units in this course may not be used to meet requirements for the major unless so designated as a replacement for a requirement not being offered during the student's remaining tenure. course is repeatable to a maximum of 9 units."
ENGR203,14601,PRINCIPLES OF ENGINEERING MANAGEMENT,Engineering,"4 units, lecture, 4 hours. prerequisite(s): graduate standing in engineering. engr 203 online section; enrollment in the online master-in-science in engineering program. covers the essential managerial skills engineers need for managing in today's global economy. exposes approaches to management that reveal constraints that guide business decisions. topics include the functions of management:  planning, organizing, leading, and controlling. designed for engineers who manage people, projects, and technical innovation."
ENGR204,37801,PROJECTS PORTFOLIO MANAGEMENT,Engineering,"4 units, lecture, 4 hours. prerequisite(s):  engr 204 online section: enrollment in the online master-in-science in engineering program. in-person section;  graduate standing. covers assessment, planning, implementation, management, and monitoring of human resources across multiple projects, including communications and leadership roles. there will be a strong focus on engineering topics."
ENGR296,24300,PROFESSIONAL PROJECT DESIGN,Engineering,"1 to 4 units, individual study, 3 to 12 hours; written work, 3 to 12 hours. prerequisite(s): enrollment in the online master in science in engineering program and consent of the instructor. a directed specialized professional written design project.  the design project will have a literature review, abstract, introduction, discussion and conclusion along with references.  the design project topic will be determined between the instructor and student. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 4 units"
ENGL001A,35991,BEGINNING COMPOSITION,English,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): engl 004 with a grade of c or better or engl 005 with a grade of c or better; fulfillment of the university of california entry level writing requirement. introduces the strategies of personal writing in a multicultural context. must be formally enrolled prior to the beginning of instruction and must attend the first day to avoid being dropped from the class.      credit is awarded for only one of engl 001a or engl 01pa."
ENGL001B,27663,INTERMEDIATE COMPOSITION,English,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): engl 001a with a grade of c or better or engl 01pa with a grade of c or better. emphasizes the transition from personal to public writing in a multicultural context. must be formally enrolled prior to the beginning of instruction and must attend the first day to avoid being dropped from the class."
ENGL001C,31994,APPLIED INTERMEDIATE COMPOSITION,English,"4 units, lecture, 3 hours; extra reading, 3 hours; written work, 3 hours. prerequisite(s): engl 001b with a grade of c or better. addresses the function of writing in a range of contemporary situations (including that of the academy) from a critical and theoretical perspective.  must be formally enrolled prior to the beginning of instruction and must attend the first day to avoid being dropped from the class. credit is awarded for one of the following  engl 001c,  engl 01hc, or engl 01sc."
ENGL004,35928,ENGLISH WRITING,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): an appropriate score on the university of california analytical writing placement exam or a grade of ""s"" in bswt 003; concurrent enrollment in engl 004l for fall, winter, spring, and summer for the online section only; concurrent enrollment in engl 004d for summer in-person sections. covers ground rules of academic inquiry and exchange in english writing.  students who pass the course with a grade of ""c"" or better have completed the university of california entry level writing requirement and are eligible to enroll in engl 001a.  students should be formally enrolled prior to the beginning of instruction and should attend the first meeting to avoid being dropped from the class. satisfactory (s) or no credit (nc) grading is not available. credit is awarded for only one of engl 004 or engl 004e."
ENGL004L,14338,ENGLISH WRITING,English,"1 units, laboratory, 3 hours. prerequisite(s): concurrent enrollment in engl 004. focuses on mastery of principles and applications of english grammar and idiomatic expression, as well as critical reading, for students who do not need, or have advanced beyond, second-language instruction. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 3 units. credit is awarded for only one of engl 004d, engl 004l, or engl 04de."
ENGL005L,14340,ENGLISH WRITING,English,"1 units, laboratory, 3 hours. prerequisite(s): concurrent enrollment in engl 005. focuses on advanced mastery of principles and applications of english grammar and idiomatic expression, as well as critical reading. graded satisfactory (s) or no credit (nc)."
ENGL007,23744,BUS100W WRITING WORKSHOP,English,"0.5 units, workshop, 0.5 hour. prerequisite(s): concurrent enrollment in the corresponding wac (writing across the curriculum) course. review the titles or topics in the current online schedule of classes to find the corresponding engl 007 lecture or laboratory course.. focuses on exploring and practicing strategies for writing assignments in w-courses: close reading of prompts, forming a relevant thesis, and finding, selecting, and organizing evidence.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 2 units."
ENGL012,37519,INTRO TO POETRY,English,"4 units, lecture, 3 hours; extra reading, 3 hours. an introduction to the study of topics, themes, or types of literature. texts may be selected from any one or a combination of several time periods, genres, or forms. topics include various national and ethnic literatures, lgbtq+ literature, disability literature, and children's literature. intended primarily for non-majors.   course is repeatable as content or topic changes to a maximum of 8 units.   credit is awarded to a maximum of 10 units for either or both engl 012 or engl 012s with different titles."
ENGL012S,35684,INTRO TO LATINX LITERATURES,English,"5 units, lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. an introduction to the study of topics, themes, or types of literature. texts may be selected from any one or a combination of several time periods, genres, or forms. topics include various national and ethnic literatures, lgbtq+ literature, disability literature, and children's literature. intended primarily for non-majors.   course is repeatable as content or topic changes to a maximum of 10 units.   credit is awarded to a maximum of 10 units for either or both engl 012 or engl 012s with different titles."
ENGL01PA,35806,BEGINNING COMPOSITION:  INTENSIVE,English,"4 units, lecture, 3 hours; tutorial, 0.5 hour; written work, 3 hours. prerequisite(s): concurrent enrollment in   engl 005l; an appropriate score on the university of california analytical writing placement exam; consent of the director of the university writing program. introduces students to the strategies of personal writing in a multicultural context.  students who pass the course with a grade of ""c"" or better have completed the university of california entry level writing requirement and are eligible to enroll in engl 001b.     credit is awarded for only one of engl 001a or engl 01pa."
ENGL020B,37524,INTRODUCTION TO AMERICAN LITERARY AND CULTURAL STUDIES,English,"5 units, lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours; written work, 2 hours. prerequisite(s): none. a thematic introduction to the study of american literature and culture focusing on historical and cultural contexts."
ENGL021,37533,INTRODUCTION TO ASIAN AMERICAN LITERATURE,English,"5 units, lecture, 3 hours; extra reading, 6 hours. introduction to the history, social background, culture, and literature of asian america."
ENGL022,37535,WRITING RED:  NATIVE AMERICAN LITERATURE,English,"4 units, lecture, 3 hours; extra reading, 3 hours. acquaints students with a range of native american literatures.  discusses mass-mediated images of native americans and how ""indianness"" is constructed, contested, and embodied in poetry, film, autobiography, fiction, and photography."
ENGL101,37539,CRITICAL THEORY,English,"4 units, lecture,3 hours; consultation, 1 hour. a study of major theoretical issues in representative critical and scholarly works."
ENGL102W,14373,INTRODUCTION TO CRITICAL METHODS,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): a major in english; engl 001b with a grade of ""c"" or better; one of the following courses: engl 020a, engl 020b, engl 020c. an in-depth analysis of the formal features of several genres, as well as an introduction to theoretical and critical approaches. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits as alternatives to english 001c. credit is awarded for only one of engl 102 or engl 102w."
ENGL103,37540,ADVANCED COMPOSITION,English,"4 units, lecture, 3 hours; discussion/consultation, 1 hour. prerequisite(s): engl 001c or the equivalent. principles of expository prose, with intensive practice. advanced course in composition, not remedial. may be repeated for credit up to a maximum of 12 units."
ENGL117D,37541,MULTIMEDIA SHAKESPEARES,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. explores how, why, and by whom shakespeare has been translated, adapted, and appropriated across languages and media forms. contextualizes case study plays in early modern context and then considers adaptations that comment upon, reimagine, or resist the logic of shakespeare's cultural influence.   course is repeatable as content or topic changes to a maximum of 8 units."
ENGL117T,30345,TOPICS IN SHAKESPEARE,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. a focused study of works by shakespeare selected from different genres."
ENGL124,37551,WOMENS FICTION SINCE 1900,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. a study of literature, art, media, and performance attentive to gender and representation, authorship, aesthetics, and interpretation in one or more time periods. includes feminist, trans, nonbinary, and intersectional critical methods.   course is repeatable as content or topic changes to a maximum of 12 units."
ENGL128,38510,AUSTEN,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior. intensive study of a single major author.   course is repeatable as content or topic changes to a maximum of 12 units."
ENGL130,37552,BODIES AND TEXTS OF THE EARLY AMERICAS,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. a study of cultural and political histories of the early americas in relation to oral, written, visual, or performance-based works."
ENGL136SA,37562,LATINX LITERATURES,English,"5 units, lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or lower-division english course (other than composition);  or consent of instructor. a critical survey of u.s. latina/o/x literature focusing on aesthetic achievements, recurrent forms and themes, and interrelations with other american literatures.     credit is awarded for one of the following  engl 136sa or engl 136a."
ENGL136T,37566,STUDIES IN LATINA AND LATINO LITERATURE,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or lower-division english course (other than composition) or consent of instructor. a focused study of ideas, forms, or movements in latina/o literature such as autobiography, growing-up narratives, popular discourses (teatro, the corrido, social movement poets), and the mainstream latina/o literary ""booms."""
ENGL137,37568,JAPANESE AMERICAN INTERNMENT,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. examines how literature represents experiences of displacement caused by colonization, migration, state violence or civil unrest, incarceration or internment, natural or human-made disasters, and other factors. texts may include fiction, poetry, life writing, or visual media. includes writers and texts from one or more countries or geographical regions.   course is repeatable as content or topic changes to a maximum of 8 units."
ENGL139,37571,ASIAN AMERICAN LITERATURE,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or lower-division english course (other than composition) or consent of instructor. a critical survey of asian american literature, with particular attention to aesthetic achievements, recurrent forms and themes, and interrelations with other american literatures."
ENGL143,37572,"ART, SEX, AND SCIENCE",English,"4 units, lecture, 3 hours; screening, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. an intensive formal, historical, and theoretical analysis of gender and sexuality in film, television, and visual culture.   course is repeatable as content or topic changes to a maximum of 12 units.  cross-listed with lgbs 143, and mcs 143."
ENGL151C,37578,STUDIES IN MEDIEVAL LITERATURE,English,"4 units, lecture, 3 hours; extra reading, 4 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or lower-division english course (other than composition);  or consent of instructor. analyzes english literature of the middle ages. focuses on its continental backgrounds as needed with the latter read in translation. examines selected major literary works that illuminate topics such as christian theology, monasticism, chivalry, and courtly love.   course is repeatable to a maximum of 8 units."
ENGL153,37579,TRANSLATION & TRANSFORMATION,English,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. surveys literature of the english renaissance (1500-1660) focusing on historical and cultural contexts. may center on particular genres such as the sonnet or epic romance; examine sources in the classical or european traditions; explore the development of literary themes; or apply theoretical approaches such as ecocriticism or critical race studies.   course is repeatable as content or topic changes to a maximum of 8 units."
ENGL189,23091,ENGLISH CAPSTONE SEMINAR,English,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): engl 102 or engl 102w. advanced undergraduate study of a specific topic proposed by instructor."
ENGL198I,35254,INDIVIDUAL INTERNSHIP IN ENGLISH,English,"1 to 12 units, internship, 3 to 36, prerequisite(s): consent of instructor or upper division standing. introduces the operations of professional societies, journals, archives, and cooperating agencies related to the study and management of literature and language. explores the ongoing operations of these organizations.  includes researching and writing analyses and/or histories under faculty supervision. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units."
ENGL200,14419,INTRODUCTION TO GRADUATE STUDY IN ENGLISH,English,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. a team-taught introduction to a range of critical and theoretical issues of concern to entering graduate students, including canon formation, field organization, critical and theoretical assumptions behind the establishment of various fields, and the uses of theory."
ENGL250,37580,SEMINAR IN NATIVE AMERICAN LITERARY AND CULTURAL STUDIES,English,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. enlists questions that lie in between literary and visual culture texts and the broader, unwritten discourses surrounding indigenous representations in film and visual culture.  explores questions of how indigenous literature and visual culture engage with issues of settler colonialism, gender, race, sexuality, class, and nation. course is repeatable to a maximum of 16 units."
ENGL273,36294,SEMINAR IN CULTURAL STUDIES,English,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. intensive formal, historical, and theoretical research into the history and theory of culture in its broadest sense: popular literature, the mass media, and the interplay between peasant and elite or ""low"" and ""high"" cultural forms. course is repeatable as content changes."
ENGL290,14435,DIRECTED STUDIES,English,"1 to 4 units, consultation,1 to 3 hours; individual study, 12 hours. prerequisite(s): consent of instructor and graduate advisor. advanced research study culminating in written work. course is repeatable."
ENGL292,14508,CONCURRENT ANALYTICAL STUDIES,English,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): instructor approval, or approval of instructor in the field under whom the work will be carried out. each 292 course will be taken concurrently with some 100 series course but on an individual basis. it will be devoted to research, criticism, and written work of a graduate order commensurate in amount with the number of units elected. engl 101 and engl 103 may not be used for this arrangement. graded satisfactory (s) or no credit (nc). may be repeated for credit."
ENGL297,26748,DIRECTED RESEARCH,English,"1 to 6 units, research, 3 to 18 hours., prerequisite(s): graduate standing or consent of instructor. individual research by graduate students directed by a particular faculty member. graded satisfactory (s) or no credit (nc). course is repeatable."
ENGL298I,35156,INDIVIDUAL INTERNSHIP,English,"1 to 12 units, term paper, 1 to 6 hours; extra reading, 1 to 6 hours; internship, 1 to 24 hours. prerequisite(s):  graduate standing;  and consent of instructor. individual study or apprenticeship in a professional setting such as a library, museum, archive, or media and arts organization to gain practical experience and skills for future career. the number of units enrolled will depend upon the amount of internship hours per week.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units."
ENGL299,14546,RESEARCH FOR THESIS OR DISSERTATION,English,"1 to 12 units, thesis, 3 to 36 hours. prerequisite(s): graduate standing or consent of instructor. research, under the direction of a faculty member, for preparation of the thesis or dissertation. graded satisfactory (s) or no credit (nc). course is repeatable; students may enroll in a maximum of 12 units per quarter."
ENGL301,14572,INTRODUCTION TO THE TEACHING OF ENGLISH,English,"1 unit, individual and group conferences, 1 hour. prerequisite(s): graduate standing. a flexible program of meetings and workshops specifically devoted to orienting apprentices and transfer tas to the writing program at uc riverside. concentrates on the problem of organizing and teaching engl 001a, engl 001b, and engl 001c or its equivalent. required of all apprentices and transfer tas. students must enroll concurrently in engl 302. graded satisfactory (s) or no credit (nc). may be repeated for credit for a maximum of 2 units."
ENGL302,14573,TEACHING PRACTICUM,English,"1 to 4 units, seminar, 1 to 4 hours. prerequisite(s): graduate standing. a flexible program of meetings and conferences on the problems and techniques of writing instruction most pertinent to basic writing or to engl 001. required of all tas for at least five quarters, after which the ta may, with the permission of the director of engl 001, elect to take engl 304 instead. open to all graduate students. graded satisfactory (s) or no credit (nc). may be repeated for credit."
ENGL303,14576,ADVANCED TEACHING PRACTICUM,English,"1 to 2 units, discussion, 1 hour; practicum, 1 to 3 hours. prerequisite(s): graduate standing or consent of instructor. a flexible program of meetings and conferences on the problems and techniques of teaching literature, cultural studies, film studies, and related courses. graded satisfactory (s) or no credit (nc). course is repeatable."
